,Cinderella,Number of Tournament Wins,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,optimalrank,Region_East,Region_Midwest,Region_South,Region_West,Wins vs Top Teams,Losses vs Top Teams
369,0.0,3.0,0.06961963963093966,0.1970162498888401,-0.1682505900190992,-1.1515534936281853,-0.5263259555793703,-2.25008056559271,-0.10113188059353692,0.30608503326417613,-1.4722451845702995,0.416871351834336,0.45766053804128437,-0.00570988506130831,1.0062582822519675,-1.1499353031713528,-0.04254363426015969,-1.1063838153080812,-0.8326372150979302,-0.6685028658337262,-1.2266350846798366,-0.9044994862996338,-1.5173502137280959,0.31514572520550743,0.32329309313519455,6,1,0,0,0,-0.09392902292387785,1.1753972731171065
412,0.0,3.0,0.6746775986052851,1.6918379553946452,-1.3597140274876847,-1.1717376661907708,-1.28747099420464,-0.18523414104005287,0.48825476044584265,0.9749155647003097,-1.6148555851183164,1.1478383777253789,-0.24977204959610141,1.7436226193928146,1.2261635486040845,0.725699934666159,-0.47283316053080704,1.061588167541238,-0.999185153802811,0.26954889982784236,-0.4557109355857197,-0.6299838084555266,-1.7956869332773875,1.678745061680342,1.5241196784427953,6,0,0,0,1,0.6259008723806072,-0.8426633716819458
343,0.0,3.0,0.6746775986052851,1.9409749063122792,-1.6575798868548308,-1.3332110466914557,-1.515814505792221,-0.050948567783707766,1.5196813822647568,1.6044031236990235,-0.39703927941706607,0.7425497297065828,-0.7764163092817108,1.8443695175550938,0.3465424831956163,0.3208865739818039,0.013581086557750834,0.217747050186896,-0.6758862139639248,0.6705747476013754,0.19660949826315222,-0.5689803244901694,-1.6962809620097832,2.364005641939269,2.1585186291713394,6,0,0,0,1,0.2659859247283647,-1.2462755006417563
276,0.0,3.0,0.6746775986052851,1.6918379553946452,-1.3597140274876847,0.9072321077555481,0.05721857403333643,2.5727919599488533,0.6922732131133202,0.7231205411008241,-0.20537501192072125,0.8655837835694317,0.3947776413624056,0.635406739607742,0.24392002556462838,1.1170195166610355,0.8928683793716824,0.21126959821534338,-0.969794341090185,1.277344291189156,1.224508363721975,0.6129621773386256,0.1129077150606132,1.422637572088622,1.2575654974644137,6,0,0,1,0,2.42547561064182,-0.03543911376232485
48,0.0,3.0,-1.4430252578049239,-0.3012576519464283,-1.0618481681205383,-0.364370763687346,-0.06963893240420851,-0.8744782864826836,-0.45249699352085937,-0.606671927283959,0.6482615659542291,-0.3213329713427568,-0.5248847225661959,0.20494272018709392,-0.15190945386918228,-0.5427152621448202,-0.22962603698652811,-0.3966449709376103,-0.48974440011729337,-0.3476821876148998,1.3812353475500945,-0.622358372959857,0.705083720448821,0.43973855797985784,0.7796719608878206,6,0,0,1,0,0.8899663801305299,0.4015137347557567
215,0.0,3.0,0.06961963963093966,0.1970162498888401,-0.1682505900190992,0.20078606806505134,0.23481908304589935,0.036460175840945935,0.8849573072992712,0.7388577300757919,0.35712373288811017,0.22870162239703784,0.5126830726353032,-0.3079505795481463,0.37586318537589863,-0.7451219424869977,-0.04254363426015969,-0.7287686508218559,-0.969794341090185,0.34277970681257447,0.5721879298731058,-0.04663799303679874,-0.1057854217281177,0.7650642880017727,0.7764352007984401,6,1,0,0,0,-0.45384397057612036,0.36817301519748563
221,0.0,3.0,0.06961963963093966,1.1935640535593768,-1.3597140274876847,0.8264954175052056,0.2686477514292447,1.7319682471484754,-0.010457012741324675,0.35329660018907966,-1.3164882815634213,0.5760918921274345,0.37119655510782607,0.2965308094255297,0.5957684517280156,0.833650164181987,0.7244942169179508,0.10222503891701654,-0.7052770266765508,0.8379594492807632,1.4419485083382666,0.6625275080604782,1.047323844976093,0.4605040301089162,0.4592357254341685,6,0,1,0,0,1.3457307676850923,-0.4390512427221353
380,0.0,3.0,0.6746775986052851,1.442701004477011,-1.0618481681205383,0.8668637626303768,0.49699126301682556,1.2387597014711063,0.3635768171490508,0.14084454902701374,0.7261613187878359,-0.3575194577730065,0.33189474468352687,-0.8391614971310737,-0.8995873594663802,0.7391937133556374,-1.1463298103457333,1.8524302624519515,-0.1272577099949058,0.9530364316853421,0.6710243592441467,0.34225921724235314,-0.30459736426332606,1.2703574431421936,1.1162917815458742,6,0,1,0,0,1.3457307676850923,-0.03543911376232485
43,0.0,3.0,-0.8379672988305785,-0.3012576519464283,-0.4661164493862455,-1.111185148503014,-1.109870485192077,-0.5187012472721926,-0.7698590310036022,-0.299796742272086,-1.8329798578504501,-0.13316324190545864,-1.0279478959972257,1.0292355233330157,0.14129756793364043,-0.8530721720028257,-0.36058371889498597,-0.59473749637527,-0.39177502440853995,-0.8324003862281267,-0.1278467786189283,-0.9693156880128257,-0.4033174343291836,0.1074910039149235,0.31313636593403077,6,0,0,0,1,-0.07574181958557703,0.09814780182918502
224,0.0,3.0,0.6746775986052851,1.442701004477011,-1.0618481681205383,0.039312687564366386,0.18407608047088136,-0.3028250640201195,1.735034193413761,1.8011179858861217,-0.35033749252435,1.4662794583115757,0.8978408147934355,0.8094241091607699,1.2261635486040845,0.9281066150083365,0.5374118141915823,0.32830760588330404,-0.8228402775270549,1.7969343026522553,2.0745016563129286,1.1124282023049872,0.8882742909479241,1.5472304048629724,1.3655199407606595,6,0,0,1,0,-0.09392902292387785,0.36817301519748563
360,0.0,3.0,0.6746775986052851,2.1901118572299136,-1.9554457462219772,0.07968103268953762,-0.543240289771043,1.8568753418200135,0.2842363077783651,0.4319825450639189,-0.5809509863761408,0.8872956754275815,-0.20260987708694236,1.3589526445913844,0.009354408122370213,1.373401311761127,-0.39800019944025966,1.6211406856865165,-0.2252270857036592,0.9879082445352146,0.7303262168667706,-0.27158834015905325,-1.2390134941788045,2.453989354498522,2.249147050703988,6,0,0,1,0,-0.45384397057612036,-0.8426633716819458
